"Location","String Value","String Representation","Data Type"
"01377348","eSID_ADD","\"eSID_ADD\"","ds"
"013729ec","eSID_AfterRainProcess","\"eSID_AfterRainProcess\"","ds"
"01370464","eSID_AmbientCube","\"eSID_AmbientCube\"","ds"
"01373918","eSID_AmbientOcclusion","\"eSID_AmbientOcclusion\"","ds"
"01377704","eSID_AmbientSelfIllum","\"eSID_AmbientSelfIllum\"","ds"
"01373d80","eSID_AverageColor","\"eSID_AverageColor\"","ds"
"01376a94","eSID_Blender","\"eSID_Blender\"","ds"
"01370184","eSID_BlurTex","\"eSID_BlurTex\"","ds"
"01375998","eSID_Clamp","\"eSID_Clamp\"","ds"
"01374410","eSID_ColorSelector","\"eSID_ColorSelector\"","ds"
"01373058","eSID_ColorSelectorSmooth","\"eSID_ColorSelectorSmooth\"","ds"
"01373ef0","eSID_ColorSinusFX","\"eSID_ColorSinusFX\"","ds"
"01376c98","eSID_Combiner4D","\"eSID_Combiner4D\"","ds"
"013707a0","eSID_Comment","\"eSID_Comment\"","ds"
"013774f0","eSID_ComputeLocalShadowMap","\"eSID_ComputeLocalShadowMap\"","ds"
"01377554","eSID_ComputeParallelShadowMap","\"eSID_ComputeParallelShadowMap\"","ds"
"01372bb8","eSID_ConditionalMUL","\"eSID_ConditionalMUL\"","ds"
"01377f90","eSID_ConstantColor","\"eSID_ConstantColor\"","ds"
"0137551c","eSID_ConstantMUL","\"eSID_ConstantMUL\"","ds"
"01377e14","eSID_ConstantUVWQ","\"eSID_ConstantUVWQ\"","ds"
"01377ee0","eSID_ConstantVector","\"eSID_ConstantVector\"","ds"
"01373e68","eSID_ConstantVertexColor","\"eSID_ConstantVertexColor\"","ds"
"013742a0","eSID_CubeAmbient","\"eSID_CubeAmbient\"","ds"
"01370fb4","eSID_CustomCode","\"eSID_CustomCode\"","ds"
"01370760","eSID_CustomCodeVtx","\"eSID_CustomCodeVtx\"","ds"
"01372ccc","eSID_CustomProjPosition","\"eSID_CustomProjPosition\"","ds"
"0137339c","eSID_DayTime","\"eSID_DayTime\"","ds"
"01373324","eSID_DayTimeBlend","\"eSID_DayTimeBlend\"","ds"
"01373210","eSID_DayTimeBlendGlobal","\"eSID_DayTimeBlendGlobal\"","ds"
"01373284","eSID_DayTimeGlobal","\"eSID_DayTimeGlobal\"","ds"
"013741a4","eSID_DepthAlpha","\"eSID_DepthAlpha\"","ds"
"013714f4","eSID_DepthAlphaOpt","\"eSID_DepthAlphaOpt\"","ds"
"0136fff8","eSID_DepthTexture","\"eSID_DepthTexture\"","ds"
"01374464","eSID_DiffuseAndSpecularLighting","\"eSID_DiffuseAndSpecularLighting\"","ds"
"013702ac","eSID_DiffuseCube","\"eSID_DiffuseCube\"","ds"
"013748b0","eSID_DiffuseCubeMap","\"eSID_DiffuseCubeMap\"","ds"
"01377830","eSID_DiffuseLighting","\"eSID_DiffuseLighting\"","ds"
"01372ad0","eSID_DiffuseMultiplier","\"eSID_DiffuseMultiplier\"","ds"
"013777a4","eSID_DiffuseSunLighting","\"eSID_DiffuseSunLighting\"","ds"
"0136ff90","eSID_DustFXSH","\"eSID_DustFXSH\"","ds"
"01372c20","eSID_EasyMorph","\"eSID_EasyMorph\"","ds"
"013709a4","eSID_EasyMorphNoScale","\"eSID_EasyMorphNoScale\"","ds"
"0136ff18","eSID_EasyMorphWithInput","\"eSID_EasyMorphWithInput\"","ds"
"01372880","eSID_ElapseTime","\"eSID_ElapseTime\"","ds"
"01375a78","eSID_ExtrusionMap","\"eSID_ExtrusionMap\"","ds"
"01375040","eSID_FlatChrome","\"eSID_FlatChrome\"","ds"
"013705c8","eSID_ForceNoPrepass","\"eSID_ForceNoPrepass\"","ds"
"01370530","eSID_ForceUltraSimpleShader","\"eSID_ForceUltraSimpleShader\"","ds"
"013700b4","eSID_ForceUltraSimpleShaderWithHelico","\"eSID_ForceUltraSimpleShaderWithHelico\"","ds"
"01370628","eSID_ForceVisualPrepass","\"eSID_ForceVisualPrepass\"","ds"
"013769ec","eSID_FurColorBlender","\"eSID_FurColorBlender\"","ds"
"013769c8","eSID_FurLayer","\"eSID_FurLayer\"","ds"
"01370d0c","eSID_GlobalWind_UV2_R","\"eSID_GlobalWind_UV2_R\"","ds"
"01374264","eSID_GlowLimit","\"eSID_GlowLimit\"","ds"
"013711dc","eSID_GrassAutoLOD","\"eSID_GrassAutoLOD\"","ds"
"01370120","eSID_HeatSelector","\"eSID_HeatSelector\"","ds"
"01372f44","eSID_InflateForFur","\"eSID_InflateForFur\"","ds"
"01372f1c","eSID_InflateForFurDirection","\"eSID_InflateForFurDirection\"","ds"
"01374064","eSID_InflateForOutline","\"eSID_InflateForOutline\"","ds"
"013701dc","eSID_InstanceVertexColor","\"eSID_InstanceVertexColor\"","ds"
"013760fc","eSID_Invert","\"eSID_Invert\"","ds"
"013734fc","eSID_LightCurve_Back","\"eSID_LightCurve_Back\"","ds"
"01375ffc","eSID_LightCurve_Linear","\"eSID_LightCurve_Linear\"","ds"
"0137438c","eSID_LightCurve_OverLap","\"eSID_LightCurve_OverLap\"","ds"
"01375f20","eSID_LightCurve_Ramp","\"eSID_LightCurve_Ramp\"","ds"
"0137602c","eSID_LightCurveBase","\"eSID_LightCurveBase\"","ds"
"01372c90","eSID_Lightning","\"eSID_Lightning\"","ds"
"01375b0c","eSID_LinearFresnel","\"eSID_LinearFresnel\"","ds"
"01375720","eSID_LODBlender","\"eSID_LODBlender\"","ds"
"0137591c","eSID_LODDelta","\"eSID_LODDelta\"","ds"
"01375884","eSID_LODMUL","\"eSID_LODMUL\"","ds"
"013755a8","eSID_Luminance","\"eSID_Luminance\"","ds"
"013703e8","eSID_LVM_Process","\"eSID_LVM_Process\"","ds"
"01370414","eSID_LVM_ShadowTerm","\"eSID_LVM_ShadowTerm\"","ds"
"01370340","eSID_LVMDecodeUV","\"eSID_LVMDecodeUV\"","ds"
"01370394","eSID_LVMDecompress","\"eSID_LVMDecompress\"","ds"
"0137036c","eSID_LVMDecompressColor","\"eSID_LVMDecompressColor\"","ds"
"013703c8","eSID_LVMPackedVC","\"eSID_LVMPackedVC\"","ds"
"01376178","eSID_MainOutput","\"eSID_MainOutput\"","ds"
"0137108c","eSID_Make2D","\"eSID_Make2D\"","ds"
"01370488","eSID_ManualZTest","\"eSID_ManualZTest\"","ds"
"01374ab0","eSID_MaterialColor_Diffuse","\"eSID_MaterialColor_Diffuse\"","ds"
"01374b10","eSID_MaterialColor_Emissive","\"eSID_MaterialColor_Emissive\"","ds"
"0136ff48","eSID_MaterialColor_EmissiveVTX","\"eSID_MaterialColor_EmissiveVTX\"","ds"
"01374a68","eSID_MaterialColor_Specular","\"eSID_MaterialColor_Specular\"","ds"
"01374928","eSID_MaterialInput","\"eSID_MaterialInput\"","ds"
"01371dd0","eSID_MeshVolumeAlpha","\"eSID_MeshVolumeAlpha\"","ds"
"01370318","eSID_ModelVertexColor","\"eSID_ModelVertexColor\"","ds"
"013774a4","eSID_MUL","\"eSID_MUL\"","ds"
"01377420","eSID_MUL2X","\"eSID_MUL2X\"","ds"
"01370d90","eSID_NGrass_Shadow","\"eSID_NGrass_Shadow\"","ds"
"01370dc4","eSID_NGRASSTransform","\"eSID_NGRASSTransform\"","ds"
"013779d8","eSID_Normal","\"eSID_Normal\"","ds"
"0137661c","eSID_Normal2UV","\"eSID_Normal2UV\"","ds"
"01374eb4","eSID_Normalize","\"eSID_Normalize\"","ds"
"01374dac","eSID_Normalize3D","\"eSID_Normalize3D\"","ds"
"01370c78","eSID_NWaterTransform","\"eSID_NWaterTransform\"","ds"
"01376fd4","eSID_OffsetBump","\"eSID_OffsetBump\"","ds"
"01373b78","eSID_OffsetBumpExt","\"eSID_OffsetBumpExt\"","ds"
"01374688","eSID_OffsetBumpWithInput","\"eSID_OffsetBumpWithInput\"","ds"
"01377fb4","eSID_Output","\"eSID_Output\"","ds"
"013747e8","eSID_ParticleNormalMap","\"eSID_ParticleNormalMap\"","ds"
"01371d4c","eSID_ParticleSinusFXNoNormal","\"eSID_ParticleSinusFXNoNormal\"","ds"
"01375184","eSID_ParticleUVRotate","\"eSID_ParticleUVRotate\"","ds"
"01375274","eSID_ParticleUVScroll","\"eSID_ParticleUVScroll\"","ds"
"01370920","eSID_Pixel3DUVWrap","\"eSID_Pixel3DUVWrap\"","ds"
"01371974","eSID_PixelAverageColor","\"eSID_PixelAverageColor\"","ds"
"01374a24","eSID_PixelColor_Misc","\"eSID_PixelColor_Misc\"","ds"
"013749e0","eSID_PixelColor_Misc2","\"eSID_PixelColor_Misc2\"","ds"
"0136ffc4","eSID_PixelSH","\"eSID_PixelSH\"","ds"
"0136fea4","eSID_PixelUVBoxAnimBlend","\"eSID_PixelUVBoxAnimBlend\"","ds"
"01370a4c","eSID_PixelViewToWorld","\"eSID_PixelViewToWorld\"","ds"
"01374720","eSID_Position","\"eSID_Position\"","ds"
"0137122c","eSID_PositionAdder","\"eSID_PositionAdder\"","ds"
"013746c0","eSID_PositionZOnly","\"eSID_PositionZOnly\"","ds"
"01371c94","eSID_PostNZCondition","\"eSID_PostNZCondition\"","ds"
"013709c8","eSID_Power","\"eSID_Power\"","ds"
"01370aec","eSID_PowFresnel","\"eSID_PowFresnel\"","ds"
"01371cc4","eSID_PreNZCondition","\"eSID_PreNZCondition\"","ds"
"01374750","eSID_ProjectiveTex","\"eSID_ProjectiveTex\"","ds"
"013724e8","eSID_PulseWave","\"eSID_PulseWave\"","ds"
"01372a34","eSID_RainProcess","\"eSID_RainProcess\"","ds"
"01370154","eSID_RefracTex","\"eSID_RefracTex\"","ds"
"01373818","eSID_ReliefBump","\"eSID_ReliefBump\"","ds"
"013764d8","eSID_RGB2UV","\"eSID_RGB2UV\"","ds"
"01375338","eSID_RGB_Ramp","\"eSID_RGB_Ramp\"","ds"
"0137299c","eSID_SawWave","\"eSID_SawWave\"","ds"
"013741e0","eSID_ScreenDepth","\"eSID_ScreenDepth\"","ds"
"0136ffac","eSID_ShadowSH","\"eSID_ShadowSH\"","ds"
"013775a4","eSID_ShadowTermLocal","\"eSID_ShadowTermLocal\"","ds"
"013775fc","eSID_ShadowTermParallel","\"eSID_ShadowTermParallel\"","ds"
"013776ac","eSID_ShadowTermSunLight","\"eSID_ShadowTermSunLight\"","ds"
"01377658","eSID_ShadowTermSunLightOneSM","\"eSID_ShadowTermSunLightOneSM\"","ds"
"013704d0","eSID_ShadowValue","\"eSID_ShadowValue\"","ds"
"01373974","eSID_SimpleCubeMap","\"eSID_SimpleCubeMap\"","ds"
"01374140","eSID_SinusFX","\"eSID_SinusFX\"","ds"
"013740c8","eSID_SinusFX_UV2","\"eSID_SinusFX_UV2\"","ds"
"01372d54","eSID_SinusFXNoNormal","\"eSID_SinusFXNoNormal\"","ds"
"01371544","eSID_SLShadowTermMUL","\"eSID_SLShadowTermMUL\"","ds"
"01370e1c","eSID_SnowGroundTransform","\"eSID_SnowGroundTransform\"","ds"
"01370f80","eSID_SnowTransform","\"eSID_SnowTransform\"","ds"
"013748ec","eSID_SpecularCubeMap","\"eSID_SpecularCubeMap\"","ds"
"0137022c","eSID_SpecularGlossMultiplier","\"eSID_SpecularGlossMultiplier\"","ds"
"013777e8","eSID_SpecularLighting","\"eSID_SpecularLighting\"","ds"
"01370280","eSID_SpecularPowerMultiplier","\"eSID_SpecularPowerMultiplier\"","ds"
"0137508c","eSID_SpecularResult","\"eSID_SpecularResult\"","ds"
"01377754","eSID_SpecularSunLighting","\"eSID_SpecularSunLighting\"","ds"
"01372830","eSID_SUB","\"eSID_SUB\"","ds"
"01373100","eSID_SymetricalDayTimeBlend","\"eSID_SymetricalDayTimeBlend\"","ds"
"01373180","eSID_SymetricDayTimeGlobal","\"eSID_SymetricDayTimeGlobal\"","ds"
"01374f98","eSID_Tangent2Screen","\"eSID_Tangent2Screen\"","ds"
"01377094","eSID_Tex2D","\"eSID_Tex2D\"","ds"
"01373c78","eSID_Tex2DMTap","\"eSID_Tex2DMTap\"","ds"
"01370734","eSID_Tex2DShowMipmap","\"eSID_Tex2DShowMipmap\"","ds"
"01373c68","eSID_Tex2DYUV","\"eSID_Tex2DYUV\"","ds"
"01376de0","eSID_TexBump","\"eSID_TexBump\"","ds"
"01374cf4","eSID_TexBumpTangent","\"eSID_TexBumpTangent\"","ds"
